,GP,W,D,L,F,A,GD,P
Liverpool,19,14,2,3,33,17,16,44
Manchester City,19,11,1,7,45,22,23,34
Southampton,19,9,4,6,30,25,5,31
Chelsea,19,9,3,7,39,38,1,30
Manchester United,19,8,5,6,26,19,7,29
Wolverhampton Wanderers,19,7,7,5,24,21,3,28
Burnley,19,7,5,7,19,27,-8,26
Leicester City,19,7,4,8,32,24,8,25
Sheffield United,19,4,9,6,15,24,-9,21
Arsenal,19,4,8,7,20,24,-4,20
Tottenham Hotspur,19,4,8,7,25,30,-5,20
Crystal Palace,19,5,5,9,16,30,-14,20
Brighton and Hove Albion,19,4,7,8,19,27,-8,19
Everton,19,5,3,11,20,35,-15,18
Newcastle United,19,5,3,11,18,37,-19,18
West Ham United,19,4,5,10,19,29,-10,17
Bournemouth,19,4,1,14,18,35,-17,13
Aston Villa,19,2,5,12,19,37,-18,11
Watford,19,2,4,13,14,37,-23,10
Norwich City,19,1,3,15,7,38,-31,6
