,GP,W,D,L,F,A,GD,P
Liverpool,14,12,1,1,26,9,17,37
Manchester City,15,9,1,5,35,19,16,28
Chelsea,14,7,3,4,29,24,5,24
Leicester City,14,7,2,5,28,13,15,23
Wolverhampton Wanderers,14,5,6,3,20,17,3,21
Southampton,14,6,2,6,19,21,-2,20
Sheffield United,13,4,7,2,13,12,1,19
Crystal Palace,14,4,5,5,14,19,-5,17
Manchester United,14,4,4,6,15,18,-3,16
Burnley,14,4,4,6,14,21,-7,16
Tottenham Hotspur,15,3,6,6,20,25,-5,15
Arsenal,13,2,8,3,14,16,-2,14
Newcastle United,15,4,2,9,13,29,-16,14
West Ham United,15,3,3,9,12,24,-12,12
Everton,15,3,3,9,18,31,-13,12
Brighton and Hove Albion,15,2,5,8,15,25,-10,11
Bournemouth,15,3,1,11,12,26,-14,10
Watford,15,2,4,9,11,27,-16,10
Aston Villa,15,2,2,11,16,32,-16,8
Norwich City,15,1,3,11,6,26,-20,6
