,GP,W,D,L,F,A,GD,P
Liverpool,19,18,1,0,52,16,36,55
Manchester City,19,15,2,2,57,13,44,47
Tottenham Hotspur,19,12,3,4,36,17,19,39
Manchester United,19,10,7,2,40,17,23,37
Leicester City,19,11,4,4,35,17,18,37
Chelsea,19,11,3,5,30,16,14,36
Arsenal,19,10,6,3,36,24,12,36
Sheffield United,19,10,3,6,24,15,9,33
Wolverhampton Wanderers,19,8,7,4,27,19,8,31
Everton,19,8,7,4,24,21,3,31
Burnley,19,8,4,7,24,23,1,28
Newcastle United,19,6,8,5,20,21,-1,26
Watford,19,6,6,7,22,27,-5,24
Aston Villa,19,7,3,9,22,30,-8,24
Crystal Palace,19,6,5,8,15,20,-5,23
West Ham United,19,6,4,9,30,33,-3,22
Brighton and Hove Albion,19,5,7,7,20,27,-7,22
Bournemouth,19,5,6,8,22,30,-8,21
Southampton,19,6,3,10,21,35,-14,21
Norwich City,19,4,3,12,19,37,-18,15
